source,primary_id,name,version,loader,file,weapon_suspect,category,path,length
aeronaftics,bibliowoods,Bibliowoods Legacy,1.6.2,neoforge,bibliowoods-1.21.1-1.6.2.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\bibliowoods-1.21.1-1.6.2.jar,23234306
aeronaftics,big_cannons_aeronautics_fix,Big Cannons Aeronautics Fix,0.1-Alpha,neoforge,big_cannons_aeronautics_fix-0.1-Alpha.jar,yes,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\big_cannons_aeronautics_fix-0.1-Alpha.jar,640145
aeronaftics,bigreactors,Extreme Reactors,1.21.1-2.4.28,neoforge,ExtremeReactors2-1.21.1-2.4.28.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\ExtremeReactors2-1.21.1-2.4.28.jar,2554779
aeronaftics,biomeswevegone,Oh The Biomes We've Gone,2.5.5,neoforge,Oh-The-Biomes-Weve-Gone-NeoForge-2.5.5.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\Oh-The-Biomes-Weve-Gone-NeoForge-2.5.5.jar,20759732
aeronaftics,blockui,UI Library Mod,1.0.211-1.21.1-snapshot,neoforge,blockui-1.0.211-1.21.1-snapshot.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\blockui-1.0.211-1.21.1-snapshot.jar,468147
aeronaftics,blueflame,Blue Flame Burning,1.21.1-1.1.1,neoforge,blueflame-1.21.1-1.1.1.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\blueflame-1.21.1-1.1.1.jar,17921
aeronaftics,botanypots,BotanyPots,21.1.41,neoforge,botanypots-neoforge-1.21.1-21.1.41.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\botanypots-neoforge-1.21.1-21.1.41.jar,1065153
aeronaftics,botanypotsmystical,BotanyPots-Mystical,21.1.11,neoforge,botanypotsmystical-neoforge-1.21.1-21.1.11.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\botanypotsmystical-neoforge-1.21.1-21.1.11.jar,89375
aeronaftics,botanytrees,BotanyTrees,21.1.3,neoforge,botanytrees-neoforge-1.21.1-21.1.3.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\botanytrees-neoforge-1.21.1-21.1.3.jar,20389
aeronaftics,brandonscore,Brandon's Core,3.2.1.309,neoforge,BrandonsCore-1.21.1-3.2.1.309.jar,no,,C:\Users\teres\.minecraftx\instances\aeronaftics\mods\BrandonsCore-1.21.1-3.2.1.309.jar,1385131
